t 1 2 jV0100 
1.61e-05 5 4.54393 -0.456066
1.62e-05 5 4.54393 -0.456066
1.63e-05 5 4.54393 -0.456066
1.64e-05 5 4.54393 -0.456066
1.65e-05 5 4.54393 -0.456066
1.66e-05 5 4.54393 -0.456066
1.67e-05 5 4.54393 -0.456066
1.68e-05 5 4.54393 -0.456066
1.69e-05 5 4.54393 -0.456066
1.7e-05 5 4.54393 -0.456066
1.71e-05 5 4.54393 -0.456066
1.72e-05 5 4.54393 -0.456066
1.73e-05 5 4.54393 -0.456066
1.74e-05 5 4.54393 -0.456066
1.75e-05 5 4.54393 -0.456066
1.76e-05 5 4.54393 -0.456066
1.77e-05 5 4.54393 -0.456066
1.78e-05 5 4.54393 -0.456066
1.79e-05 5 4.54393 -0.456066
1.8e-05 5 4.54393 -0.456066
1.81e-05 5 4.54393 -0.456066
1.82e-05 5 4.54393 -0.456066
1.83e-05 5 4.54393 -0.456066
1.84e-05 5 4.54393 -0.456066
1.85e-05 5 4.54393 -0.456066
1.86e-05 5 4.54393 -0.456066
1.87e-05 5 4.54393 -0.456066
1.88e-05 5 4.54393 -0.456066
1.89e-05 5 4.54393 -0.456066
1.9e-05 5 4.54393 -0.456066
1.91e-05 5 4.54393 -0.456066
1.92e-05 5 4.54393 -0.456066
1.93e-05 5 4.54393 -0.456066
1.94e-05 5 4.54393 -0.456066
1.95e-05 5 4.54393 -0.456066
1.96e-05 5 4.54393 -0.456066
1.97e-05 5 4.54393 -0.456066
1.98e-05 5 4.54393 -0.456066
1.99e-05 5 4.54393 -0.456066
2e-05 5 4.54393 -0.456066
2.01e-05 5 4.54393 -0.456066
2.02e-05 5 4.54393 -0.456066
2.03e-05 5 4.54393 -0.456066
2.04e-05 5 4.54393 -0.456066
2.05e-05 5 4.54393 -0.456066
2.06e-05 5 4.54393 -0.456066
2.07e-05 5 4.54393 -0.456066
2.08e-05 5 4.54393 -0.456066
2.09e-05 5 4.54393 -0.456066
2.1e-05 5 4.54393 -0.456066
2.11e-05 5 4.54393 -0.456066
2.12e-05 5 4.54393 -0.456066
2.13e-05 5 4.54393 -0.456066
2.14e-05 5 4.54393 -0.456066
2.15e-05 5 4.54393 -0.456066
2.16e-05 5 4.54393 -0.456066
2.17e-05 5 4.54393 -0.456066
2.18e-05 5 4.54393 -0.456066
2.19e-05 5 4.54393 -0.456066
2.2e-05 5 4.54393 -0.456066
2.21e-05 5 4.54393 -0.456066
2.22e-05 5 4.54393 -0.456066
2.23e-05 5 4.54393 -0.456066
2.24e-05 5 4.54393 -0.456066
2.25e-05 5 4.54393 -0.456066
2.26e-05 5 4.54393 -0.456066
2.27e-05 5 4.54393 -0.456066
2.28e-05 5 4.54393 -0.456066
2.29e-05 5 4.54393 -0.456066
2.3e-05 5 4.54393 -0.456066
2.31e-05 5 4.54393 -0.456066
2.32e-05 5 4.54393 -0.456066
2.33e-05 5 4.54393 -0.456066
2.34e-05 5 4.54393 -0.456066
2.35e-05 5 4.54393 -0.456066
2.36e-05 5 4.54393 -0.456066
2.37e-05 5 4.54393 -0.456066
2.38e-05 5 4.54393 -0.456066
2.39e-05 5 4.54393 -0.456066
2.4e-05 5 4.54393 -0.456066
2.41e-05 5 4.54393 -0.456066
2.42e-05 5 4.54393 -0.456066
2.43e-05 5 4.54393 -0.456066
2.44e-05 5 4.54393 -0.456066
2.45e-05 5 4.54393 -0.456066
2.46e-05 5 4.54393 -0.456066
2.47e-05 5 4.54393 -0.456066
2.48e-05 5 4.54393 -0.456066
2.49e-05 5 4.54393 -0.456066
2.5e-05 5 4.54393 -0.456066
2.51e-05 5 4.54393 -0.456066
2.52e-05 5 4.54393 -0.456066
2.53e-05 5 4.54393 -0.456066
2.54e-05 5 4.54393 -0.456066
2.55e-05 5 4.54393 -0.456066
2.56e-05 5 4.54393 -0.456066
2.57e-05 5 4.54393 -0.456066
2.58e-05 5 4.54393 -0.456066
2.59e-05 5 4.54393 -0.456066
2.6e-05 5 4.54393 -0.456066
2.61e-05 5 4.54393 -0.456066
2.62e-05 5 4.54393 -0.456066
2.63e-05 5 4.54393 -0.456066
2.64e-05 5 4.54393 -0.456066
2.65e-05 5 4.54393 -0.456066
2.66e-05 5 4.54393 -0.456066
2.67e-05 5 4.54393 -0.456066
2.68e-05 5 4.54393 -0.456066
2.69e-05 5 4.54393 -0.456066
2.7e-05 5 4.54393 -0.456066
2.71e-05 5 4.54393 -0.456066
2.72e-05 5 4.54393 -0.456066
2.73e-05 5 4.54393 -0.456066
2.74e-05 5 4.54393 -0.456066
2.75e-05 5 4.54393 -0.456066
2.76e-05 5 4.54393 -0.456066
2.77e-05 5 4.54393 -0.456066
2.78e-05 5 4.54393 -0.456066
2.79e-05 5 4.54393 -0.456066
2.8e-05 5 4.54393 -0.456066
2.81e-05 5 4.54393 -0.456066
2.82e-05 5 4.54393 -0.456066
2.83e-05 5 4.54393 -0.456066
2.84e-05 5 4.54393 -0.456066
2.85e-05 5 4.54393 -0.456066
2.86e-05 5 4.54393 -0.456066
2.87e-05 5 4.54393 -0.456066
2.88e-05 5 4.54393 -0.456066
2.89e-05 5 4.54393 -0.456066
2.9e-05 5 4.54393 -0.456066
2.91e-05 5 4.54393 -0.456066
2.92e-05 5 4.54393 -0.456066
2.93e-05 5 4.54393 -0.456066
2.94e-05 5 4.54393 -0.456066
2.95e-05 5 4.54393 -0.456066
2.96e-05 5 4.54393 -0.456066
2.97e-05 5 4.54393 -0.456066
2.98e-05 5 4.54393 -0.456066
2.99e-05 5 4.54393 -0.456066
3e-05 5 4.54393 -0.456066
3.01e-05 5 4.54393 -0.456066
3.02e-05 5 4.54393 -0.456066
3.03e-05 5 4.54393 -0.456066
3.04e-05 5 4.54393 -0.456066
3.05e-05 5 4.54393 -0.456066
3.06e-05 5 4.54393 -0.456066
3.07e-05 5 4.54393 -0.456066
3.08e-05 5 4.54393 -0.456066
3.09e-05 5 4.54393 -0.456066
3.1e-05 5 4.54393 -0.456066
3.11e-05 5 4.54393 -0.456066
3.12e-05 5 4.54393 -0.456066
3.13e-05 5 4.54393 -0.456066
3.14e-05 5 4.54393 -0.456066
3.15e-05 5 4.54393 -0.456066
3.16e-05 5 4.54393 -0.456066
3.17e-05 5 4.54393 -0.456066
3.18e-05 5 4.54393 -0.456066
3.19e-05 5 4.54393 -0.456066
3.2e-05 5 4.54393 -0.456066
3.21e-05 5 4.54393 -0.456066
3.22e-05 5 4.54393 -0.456066
3.23e-05 5 4.54393 -0.456066
3.24e-05 5 4.54393 -0.456066
3.25e-05 5 4.54393 -0.456066
3.26e-05 5 4.54393 -0.456066
3.27e-05 5 4.54393 -0.456066
3.28e-05 5 4.54393 -0.456066
3.29e-05 5 4.54393 -0.456066
3.3e-05 5 4.54393 -0.456066
3.31e-05 5 4.54393 -0.456066
3.32e-05 5 4.54393 -0.456066
3.33e-05 5 4.54393 -0.456066
3.34e-05 5 4.54393 -0.456066
3.35e-05 5 4.54393 -0.456066
3.36e-05 5 4.54393 -0.456066
3.37e-05 5 4.54393 -0.456066
3.38e-05 5 4.54393 -0.456066
3.39e-05 5 4.54393 -0.456066
3.4e-05 5 4.54393 -0.456066
3.41e-05 5 4.54393 -0.456066
3.42e-05 5 4.54393 -0.456066
3.43e-05 5 4.54393 -0.456066
3.44e-05 5 4.54393 -0.456066
3.45e-05 5 4.54393 -0.456066
3.46e-05 5 4.54393 -0.456066
3.47e-05 5 4.54393 -0.456066
3.48e-05 5 4.54393 -0.456066
3.49e-05 5 4.54393 -0.456066
3.5e-05 5 4.54393 -0.456066
3.51e-05 5 4.54393 -0.456066
3.52e-05 5 4.54393 -0.456066
3.53e-05 5 4.54393 -0.456066
3.54e-05 5 4.54393 -0.456066
3.55e-05 5 4.54393 -0.456066
3.56e-05 5 4.54393 -0.456066
3.57e-05 5 4.54393 -0.456066
3.58e-05 5 4.54393 -0.456066
3.59e-05 5 4.54393 -0.456066
3.6e-05 5 4.54393 -0.456066
3.61e-05 5 4.54393 -0.456066
3.62e-05 5 4.54393 -0.456066
3.63e-05 5 4.54393 -0.456066
3.64e-05 5 4.54393 -0.456066
3.65e-05 5 4.54393 -0.456066
3.66e-05 5 4.54393 -0.456066
3.67e-05 5 4.54393 -0.456066
3.68e-05 5 4.54393 -0.456066
3.69e-05 5 4.54393 -0.456066
3.7e-05 5 4.54393 -0.456066
