f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f 16m 16f jL0102m jL0102f jV1400m jV1400f jV1600m jV1600f jV0300m jV0300f jV1100m jV1100f 
1.45083 0.5 -0.166253 0.5 1.74973e-07 1 0 0.452046 179.859 0.464368 -179.989 0.506292 -0.0820612 0.5 179.834 0.500001 -0.0831266 0.5 -180 0.5 -0.166253 1 -0 0.500001 179.917 0.403613 -0.141437 1 -0 0.452046 179.918 0 0 0.0003 179.917 1.16532e-13 -89.9994 4.18668e-08 -91.178 0.0003 180 0 0 
1.48497 0.5 -0.170165 0.5 1.87617e-07 1 0 0.452046 179.855 0.464368 -179.988 0.506292 -0.0839922 0.5 179.83 0.500001 -0.0850826 0.5 -180 0.5 -0.170165 1 -0 0.500001 179.915 0.403613 -0.144765 1 -0 0.452046 179.916 0 0 0.0003 179.915 1.19274e-13 -89.9994 4.28517e-08 -91.1627 0.0003 180 0 0 
1.51991 0.5 -0.174169 0.5 2.01176e-07 1 0 0.452046 179.852 0.464368 -179.988 0.506292 -0.0859686 0.5 179.826 0.500001 -0.0870847 0.5 -180 0.5 -0.174169 1 -0 0.500001 179.913 0.403613 -0.148172 1 -0 0.452046 179.914 0 0 0.0003 179.913 1.2208e-13 -89.9994 4.38599e-08 -91.1481 0.0003 180 0 0 
1.55568 0.5 -0.178268 0.5 2.15714e-07 1 0 0.452046 179.848 0.464368 -179.988 0.506292 -0.0879916 0.5 179.822 0.500001 -0.0891339 0.5 -180 0.5 -0.178268 1 -0 0.500001 179.911 0.403613 -0.151659 1 -0 0.452046 179.912 0 0 0.0003 179.911 1.24953e-13 -89.9994 4.48917e-08 -91.1341 0.0003 180 0 0 
1.59228 0.5 -0.182462 0.5 2.31303e-07 1 0 0.452046 179.845 0.464368 -179.988 0.506292 -0.0900621 0.5 179.818 0.500001 -0.0912313 0.5 -180 0.5 -0.182462 1 -0 0.500001 179.909 0.403613 -0.155227 1 -0 0.452046 179.91 0 0 0.0003 179.909 1.27893e-13 -89.9994 4.59479e-08 -91.1207 0.0003 180 0 0 
1.62975 0.5 -0.186756 0.5 2.48019e-07 1 0 0.452046 179.841 0.464368 -179.987 0.506292 -0.0921814 0.5 179.813 0.500001 -0.0933781 0.5 -180 0.5 -0.186756 1 -0 0.500001 179.907 0.403613 -0.15888 1 -0 0.452046 179.908 0 0 0.0003 179.907 1.30903e-13 -89.9994 4.70289e-08 -91.1079 0.0003 180 0 0 
1.6681 0.5 -0.19115 0.5 2.65943e-07 1 0 0.452046 179.837 0.464368 -179.987 0.506292 -0.0943505 0.5 179.809 0.500001 -0.0955754 0.5 -180 0.5 -0.19115 1 -0 0.500001 179.904 0.403613 -0.162619 1 -0 0.452046 179.906 0 0 0.0003 179.904 1.33983e-13 -89.9993 4.81353e-08 -91.0957 0.0003 180 0 0 
1.70735 0.5 -0.195648 0.5 2.85162e-07 1 0 0.452046 179.834 0.464368 -179.987 0.506292 -0.0965707 0.5 179.804 0.500001 -0.0978244 0.5 -180 0.5 -0.195648 1 -0 0.500001 179.902 0.403613 -0.166445 1 -0 0.452046 179.903 0 0 0.0003 179.902 1.37136e-13 -89.9993 4.92678e-08 -91.0841 0.0003 180 0 0 
1.74753 0.5 -0.200252 0.5 3.05769e-07 1 0 0.452046 179.83 0.464368 -179.986 0.506292 -0.0988431 0.5 179.8 0.500001 -0.100126 0.5 -180 0.5 -0.200252 1 -0 0.500001 179.9 0.403613 -0.170362 1 -0 0.452046 179.901 0 0 0.0003 179.9 1.40363e-13 -89.9993 5.0427e-08 -91.0731 0.0003 180 0 0 
1.78865 0.5 -0.204964 0.5 3.27866e-07 1 0 0.452046 179.826 0.464368 -179.986 0.506292 -0.101169 0.5 179.795 0.500001 -0.102482 0.5 -180 0.5 -0.204964 1 -0 0.500001 179.898 0.403613 -0.174371 1 -0 0.452046 179.899 0 0 0.0003 179.898 1.43666e-13 -89.9993 5.16134e-08 -91.0626 0.0003 180 0 0 
1.83074 0.5 -0.209787 0.5 3.5156e-07 1 0 0.452046 179.822 0.464368 -179.986 0.506292 -0.10355 0.5 179.79 0.500001 -0.104894 0.5 -180 0.5 -0.209787 1 -0 0.500001 179.895 0.403613 -0.178474 1 -0 0.452046 179.896 0 0 0.000300001 179.895 1.47046e-13 -89.9993 5.28278e-08 -91.0528 0.0003 180 0 0 
1.87382 0.5 -0.214724 0.5 3.76966e-07 1 0 0.452046 179.817 0.464368 -179.985 0.506292 -0.105986 0.5 179.785 0.500001 -0.107362 0.5 -180 0.5 -0.214724 1 -0 0.500001 179.893 0.403613 -0.182673 1 -0 0.452046 179.894 0 0 0.000300001 179.893 1.50506e-13 -89.9993 5.40707e-08 -91.0435 0.0003 180 0 0 
1.91791 0.5 -0.219777 0.5 4.04208e-07 1 0 0.452046 179.813 0.464368 -179.985 0.506292 -0.10848 0.5 179.78 0.500001 -0.109889 0.5 -180 0.5 -0.219777 1 -0 0.500001 179.89 0.403613 -0.186972 1 -0 0.452046 179.892 0 0 0.000300001 179.89 1.54048e-13 -89.9992 5.53429e-08 -91.0347 0.0003 180 0 0 
1.96304 0.5 -0.224948 0.5 4.33419e-07 1 0 0.452046 179.809 0.464368 -179.985 0.506292 -0.111033 0.5 179.775 0.500001 -0.112474 0.5 -180 0.5 -0.224948 1 -0 0.500001 179.888 0.403613 -0.191371 1 -0 0.452046 179.889 0 0 0.000300001 179.888 1.57673e-13 -89.9992 5.66451e-08 -91.0266 0.0003 180 0 0 
2.00923 0.5 -0.230241 0.5 4.64741e-07 1 0 0.452046 179.804 0.464368 -179.984 0.506292 -0.113646 0.5 179.77 0.500001 -0.115121 0.5 -180 0.5 -0.230241 1 -0 0.500001 179.885 0.403613 -0.195875 1 -0 0.452046 179.886 0 0 0.000300001 179.885 1.61383e-13 -89.9992 5.79779e-08 -91.019 0.0003 180 0 0 
2.05651 0.5 -0.235659 0.5 4.98327e-07 1 0 0.452046 179.8 0.464368 -179.984 0.506292 -0.11632 0.5 179.764 0.500001 -0.11783 0.5 -180 0.5 -0.235659 1 -0 0.500001 179.882 0.403613 -0.200484 1 -0 0.452046 179.884 0 0 0.000300001 179.882 1.65181e-13 -89.9992 5.93421e-08 -91.0119 0.0003 180 0 0 
2.1049 0.5 -0.241205 0.5 5.34339e-07 1 0 0.452046 179.795 0.464368 -179.984 0.506292 -0.119057 0.5 179.759 0.500001 -0.120603 0.5 -180 0.5 -0.241205 1 -0 0.500001 179.879 0.403613 -0.205201 1 -0 0.452047 179.881 0 0 0.000300001 179.879 1.69068e-13 -89.9992 6.07384e-08 -91.0054 0.0003 180 0 0 
2.15443 0.5 -0.24688 0.5 5.72954e-07 1 0 0.452046 179.79 0.464368 -179.983 0.506292 -0.121858 0.5 179.753 0.500001 -0.123441 0.5 -180 0.5 -0.24688 1 -0 0.500001 179.877 0.403612 -0.21003 1 -0 0.452047 179.878 0 0 0.000300001 179.877 1.73046e-13 -89.9991 6.21675e-08 -90.9994 0.0003 180 0 0 
2.20513 0.5 -0.25269 0.5 6.14359e-07 1 0 0.452046 179.785 0.464368 -179.983 0.506292 -0.124726 0.5 179.747 0.500001 -0.126345 0.5 -180 0.5 -0.25269 1 -0 0.500001 179.874 0.403612 -0.214972 1 -0 0.452047 179.875 0 0 0.000300001 179.874 1.77118e-13 -89.9991 6.36303e-08 -90.994 0.0003 180 0 0 
2.25702 0.5 -0.258636 0.5 6.58757e-07 1 0 0.452046 179.78 0.464369 -179.982 0.506292 -0.127661 0.5 179.741 0.500001 -0.129318 0.5 -180 0.5 -0.258636 1 -0 0.500001 179.871 0.403612 -0.220031 1 -0 0.452047 179.872 0 0 0.000300001 179.871 1.81286e-13 -89.9991 6.51275e-08 -90.9891 0.0003 180 0 0 
2.31013 0.5 -0.264722 0.5 7.06363e-07 1 0 0.452046 179.775 0.464369 -179.982 0.506292 -0.130665 0.5 179.735 0.500001 -0.132361 0.5 -180 0.5 -0.264722 1 -0 0.500001 179.868 0.403612 -0.225208 1 -0 0.452047 179.869 0 0 0.000300001 179.868 1.85551e-13 -89.9991 6.666e-08 -90.9847 0.0003 180 0 0 
2.36449 0.5 -0.270951 0.5 7.5741e-07 1 0 0.452046 179.769 0.464369 -179.982 0.506292 -0.13374 0.5 179.729 0.500001 -0.135476 0.5 -180 0.5 -0.270951 1 -0 0.500001 179.865 0.403612 -0.230508 1 -0 0.452047 179.866 0 0 0.000300001 179.865 1.89918e-13 -89.9991 6.82285e-08 -90.9809 0.0003 180 0 0 
2.42013 0.5 -0.277327 0.5 8.12145e-07 1 0 0.452046 179.764 0.464369 -179.981 0.506292 -0.136887 0.5 179.723 0.500001 -0.138664 0.5 -180 0.5 -0.277327 1 -0 0.500001 179.861 0.403612 -0.235932 1 -0 0.452047 179.863 0 0 0.000300001 179.861 1.94387e-13 -89.999 6.9834e-08 -90.9776 0.0003 180 0 0 
2.47708 0.5 -0.283853 0.5 8.70836e-07 1 0 0.452046 179.759 0.464369 -179.981 0.506292 -0.140108 0.5 179.716 0.500002 -0.141927 0.5 -180 0.5 -0.283853 1 -0 0.500002 179.858 0.403612 -0.241483 1 -0 0.452047 179.86 0 0 0.000300001 179.858 1.98961e-13 -89.999 7.14772e-08 -90.9748 0.0003 180 0 0 
2.53536 0.5 -0.290532 0.5 9.33769e-07 1 0 0.452046 179.753 0.464369 -179.98 0.506292 -0.143405 0.5 179.709 0.500002 -0.145266 0.5 -180 0.5 -0.290532 1 -0 0.500002 179.855 0.403612 -0.247166 1 -0 0.452047 179.857 0 0 0.000300001 179.855 2.03642e-13 -89.999 7.31592e-08 -90.9726 0.0003 180 0 0 
2.59502 0.5 -0.297368 0.5 1.00125e-06 1 0 0.452046 179.747 0.464369 -179.98 0.506292 -0.146779 0.5 179.703 0.500002 -0.148685 0.5 -180 0.5 -0.297368 1 -0 0.500002 179.851 0.403612 -0.252982 1 -0 0.452047 179.853 0 0 0.000300001 179.851 2.08434e-13 -89.999 7.48807e-08 -90.9709 0.0003 180 0 0 
2.65609 0.5 -0.304366 0.5 1.07361e-06 1 0 0.452046 179.741 0.464369 -179.979 0.506292 -0.150233 0.5 179.696 0.500002 -0.152183 0.5 -180 0.5 -0.304366 1 -0 0.500002 179.848 0.403612 -0.258935 1 -0 0.452047 179.85 0 0 0.000300001 179.848 2.13339e-13 -89.9989 7.66427e-08 -90.9697 0.0003 180 0 0 
2.71859 0.5 -0.311528 0.5 1.15119e-06 1 0 0.452046 179.735 0.464369 -179.979 0.506292 -0.153768 0.5 179.688 0.500002 -0.155765 0.5 -180 0.5 -0.311528 1 -0 0.500002 179.844 0.403612 -0.265028 1 -0 0.452047 179.846 0 0 0.000300001 179.844 2.18359e-13 -89.9989 7.84462e-08 -90.969 0.0003 180 0 0 
