f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f jL0200m jL0200f jL0110m jL0110f jL0800m jL0800f jV0300m jV0300f jV1000m jV1000f jV0700m jV0700f jV1100m jV1100f jV0900m jV0900f 
1760 9.99374 -2.02667 7.4171 42.1227 10 -0 9.81989 10.8907 4.69476 30.9888 8.87309 -27.4629 10 -0 4.78086 20.098 10 -0 10 -0 10 -0 0.000670721 -47.8773 0.000999374 177.973 0.000432328 -69.902 0.000670721 132.123 0.000999374 177.973 0.00461175 -117.463 0.000981989 -169.109 0.000574995 163.399
1770 9.99367 -2.03818 7.43597 41.9613 10 -0 9.82187 10.8307 4.69806 30.8186 8.86236 -27.596 10 -0 4.78327 19.9879 10 -0 10 -0 10 -0 0.000668628 -48.0387 0.000999367 177.962 0.000430102 -70.0121 0.000668628 131.961 0.000999367 177.962 0.00463234 -117.596 0.000982187 -169.169 0.000574254 163.458
1780 9.9936 -2.04969 7.45466 41.8008 10 -0 9.82381 10.7712 4.70132 30.6503 8.85161 -27.7287 10 -0 4.78564 19.879 10 -0 10 -0 10 -0 0.000666543 -48.1992 0.00099936 177.95 0.000427898 -70.121 0.000666543 131.801 0.00099936 177.95 0.00465286 -117.729 0.000982381 -169.229 0.000573523 163.517
1790 9.99353 -2.06119 7.47318 41.6414 10 -0 9.82572 10.7125 4.70452 30.4838 8.84083 -27.8611 10 -0 4.78797 19.7713 10 -0 10 -0 10 -0 0.000664466 -48.3586 0.000999353 177.939 0.000425714 -70.2287 0.000664466 131.641 0.000999353 177.939 0.0046733 -117.861 0.000982572 -169.288 0.000572802 163.575
1800 9.99346 -2.0727 7.49153 41.4829 10 -0 9.82761 10.6543 4.70768 30.319 8.83003 -27.9932 10 -0 4.79026 19.6647 10 -0 10 -0 10 -0 0.000662397 -48.5171 0.000999346 177.927 0.000423552 -70.3353 0.000662397 131.483 0.000999346 177.927 0.00469367 -117.993 0.000982761 -169.346 0.000572092 163.634
1810 9.99338 -2.0842 7.50971 41.3255 10 -0 9.82946 10.5968 4.71078 30.156 8.81921 -28.125 10 -0 4.79252 19.5592 10 -0 10 -0 10 -0 0.000660335 -48.6745 0.000999338 177.916 0.00042141 -70.4408 0.000660335 131.325 0.000999338 177.916 0.00471396 -118.125 0.000982946 -169.403 0.000571392 163.692
1820 9.99331 -2.0957 7.52772 41.169 10 -0 9.83128 10.5399 4.71384 29.9947 8.80838 -28.2564 10 -0 4.79474 19.4548 10 -0 10 -0 10 -0 0.000658282 -48.831 0.000999331 177.904 0.000419289 -70.5452 0.000658282 131.169 0.000999331 177.904 0.00473418 -118.256 0.000983128 -169.46 0.000570701 163.75
1830 9.99324 -2.10721 7.54555 41.0135 10 -0 9.83307 10.4836 4.71685 29.8351 8.79752 -28.3875 10 -0 4.79692 19.3515 10 -0 10 -0 10 -0 0.000656236 -48.9865 0.000999324 177.893 0.000417188 -70.6485 0.000656236 131.013 0.000999324 177.893 0.00475433 -118.388 0.000983307 -169.516 0.00057002 163.808
1840 9.99316 -2.11871 7.56323 40.8589 10 -0 9.83484 10.4278 4.71981 29.6772 8.78664 -28.5183 10 -0 4.79907 19.2493 10 -0 10 -0 10 -0 0.000654199 -49.1411 0.000999316 177.881 0.000415107 -70.7507 0.000654199 130.859 0.000999316 177.881 0.0047744 -118.518 0.000983484 -169.572 0.000569348 163.866
1850 9.99309 -2.13022 7.58074 40.7053 10 -0 9.83657 10.3727 4.72273 29.5209 8.77575 -28.6488 10 -0 4.80119 19.1482 10 -0 10 -0 10 -0 0.000652169 -49.2947 0.000999309 177.87 0.000413045 -70.8518 0.000652169 130.705 0.000999309 177.87 0.00479439 -118.649 0.000983657 -169.627 0.000568685 163.923
1860 9.99301 -2.14172 7.59809 40.5527 10 -0 9.83828 10.3181 4.7256 29.3662 8.76484 -28.7789 10 -0 4.80328 19.048 10 -0 10 -0 10 -0 0.000650147 -49.4473 0.000999301 177.858 0.000411003 -70.952 0.000650147 130.553 0.000999301 177.858 0.00481432 -118.779 0.000983828 -169.682 0.000568032 163.98
1870 9.99294 -2.15323 7.61527 40.401 10 -0 9.83997 10.2641 4.72843 29.2131 8.75391 -28.9088 10 -0 4.80533 18.9489 10 -0 10 -0 10 -0 0.000648133 -49.599 0.000999294 177.847 0.000408979 -71.0511 0.000648133 130.401 0.000999294 177.847 0.00483416 -118.909 0.000983997 -169.736 0.000567387 164.037
1880 9.99286 -2.16473 7.6323 40.2502 10 -0 9.84163 10.2107 4.73121 29.0615 8.74296 -29.0383 10 -0 4.80735 18.8508 10 -0 10 -0 10 -0 0.000646127 -49.7498 0.000999286 177.835 0.000406975 -71.1492 0.000646127 130.25 0.000999286 177.835 0.00485394 -119.038 0.000984163 -169.789 0.000566751 164.094
1890 9.99279 -2.17623 7.64917 40.1004 10 -0 9.84326 10.1578 4.73395 28.9115 8.73199 -29.1674 10 -0 4.80934 18.7537 10 -0 10 -0 10 -0 0.000644129 -49.8996 0.000999279 177.824 0.000404989 -71.2463 0.000644129 130.1 0.000999279 177.824 0.00487363 -119.167 0.000984326 -169.842 0.000566124 164.15
1900 9.99271 -2.18774 7.66588 39.9515 10 -0 9.84487 10.1054 4.73666 28.7631 8.72101 -29.2963 10 -0 4.8113 18.6576 10 -0 10 -0 10 -0 0.000642139 -50.0485 0.000999271 177.812 0.000403022 -71.3424 0.000642139 129.951 0.000999271 177.812 0.00489326 -119.296 0.000984487 -169.895 0.000565505 164.206
1910 9.99263 -2.19924 7.68244 39.8035 10 -0 9.84645 10.0536 4.73932 28.6161 8.71001 -29.4248 10 -0 4.81323 18.5625 10 -0 10 -0 10 -0 0.000640157 -50.1965 0.000999263 177.801 0.000401073 -71.4375 0.000640157 129.803 0.000999263 177.801 0.00491281 -119.425 0.000984645 -169.946 0.000564895 164.262
1920 9.99256 -2.21074 7.69885 39.6564 10 -0 9.84801 10.0023 4.74194 28.4706 8.699 -29.553 10 -0 4.81513 18.4683 10 -0 10 -0 10 -0 0.000638182 -50.3436 0.000999256 177.789 0.000399141 -71.5317 0.000638182 129.656 0.000999256 177.789 0.00493229 -119.553 0.000984801 -169.998 0.000564292 164.317
1930 9.99248 -2.22225 7.71511 39.5103 10 -0 9.84954 9.95152 4.74452 28.3265 8.68797 -29.6809 10 -0 4.817 18.375 10 -0 10 -0 10 -0 0.000636216 -50.4897 0.000999248 177.778 0.000397227 -71.625 0.000636216 129.51 0.000999248 177.778 0.00495169 -119.681 0.000984954 -170.048 0.000563698 164.373
1940 9.9924 -2.23375 7.73121 39.365 10 -0 9.85106 9.90124 4.74707 28.1839 8.67692 -29.8084 10 -0 4.81884 18.2827 10 -0 10 -0 10 -0 0.000634258 -50.635 0.00099924 177.766 0.000395331 -71.7173 0.000634258 129.365 0.00099924 177.766 0.00497102 -119.808 0.000985106 -170.099 0.000563112 164.428
1950 9.99232 -2.24525 7.74717 39.2206 10 -0 9.85255 9.85146 4.74958 28.0427 8.66586 -29.9357 10 -0 4.82066 18.1912 10 -0 10 -0 10 -0 0.000632308 -50.7794 0.000999232 177.755 0.000393452 -71.8088 0.000632308 129.221 0.000999232 177.755 0.00499027 -119.936 0.000985255 -170.149 0.000562533 164.483
1960 9.99224 -2.25675 7.76298 39.0771 10 -0 9.85401 9.80218 4.75205 27.9029 8.65479 -30.0626 10 -0 4.82245 18.1007 10 -0 10 -0 10 -0 0.000630366 -50.9229 0.000999224 177.743 0.00039159 -71.8993 0.000630366 129.077 0.000999224 177.743 0.00500945 -120.063 0.000985401 -170.198 0.000561962 164.537
1970 9.99216 -2.26825 7.77865 38.9345 10 -0 9.85546 9.75338 4.75448 27.7644 8.6437 -30.1891 10 -0 4.82421 18.011 10 -0 10 -0 10 -0 0.000628432 -51.0655 0.000999216 177.732 0.000389745 -71.989 0.000628432 128.935 0.000999216 177.732 0.00502856 -120.189 0.000985546 -170.247 0.000561398 164.591
1980 9.99209 -2.27976 7.79417 38.7928 10 -0 9.85689 9.70506 4.75688 27.6273 8.6326 -30.3154 10 -0 4.82595 17.9222 10 -0 10 -0 10 -0 0.000626505 -51.2072 0.000999209 177.72 0.000387916 -72.0778 0.000626505 128.793 0.000999209 177.72 0.0050476 -120.315 0.000985689 -170.295 0.000560842 164.645
1990 9.99201 -2.29126 7.80955 38.6519 10 -0 9.85829 9.65721 4.75925 27.4915 8.62149 -30.4413 10 -0 4.82766 17.8343 10 -0 10 -0 10 -0 0.000624587 -51.3481 0.000999201 177.709 0.000386103 -72.1657 0.000624587 128.652 0.000999201 177.709 0.00506656 -120.441 0.000985829 -170.343 0.000560293 164.699
2000 9.99192 -2.30276 7.82479 38.5119 10 -0 9.85967 9.60983 4.76158 27.3571 8.61036 -30.5669 10 -0 4.82935 17.7472 10 -0 10 -0 10 -0 0.000622677 -51.4881 0.000999192 177.697 0.000384307 -72.2528 0.000622677 128.512 0.000999192 177.697 0.00508544 -120.567 0.000985967 -170.39 0.000559752 164.753
2010 9.99184 -2.31426 7.83989 38.3727 10 -0 9.86104 9.5629 4.76387 27.2239 8.59922 -30.6922 10 -0 4.83101 17.661 10 -0 10 -0 10 -0 0.000620775 -51.6273 0.000999184 177.686 0.000382527 -72.339 0.000620775 128.373 0.000999184 177.686 0.00510426 -120.692 0.000986104 -170.437 0.000559217 164.806
2020 9.99176 -2.32576 7.85485 38.2344 10 -0 9.86238 9.51643 4.76614 27.092 8.58807 -30.8172 10 -0 4.83265 17.5756 10 -0 10 -0 10 -0 0.00061888 -51.7656 0.000999176 177.674 0.000380762 -72.4244 0.00061888 128.234 0.000999176 177.674 0.005123 -120.817 0.000986238 -170.484 0.000558689 164.859
2030 9.99168 -2.33726 7.86968 38.097 10 -0 9.86371 9.4704 4.76837 26.9614 8.5769 -30.9418 10 -0 4.83426 17.4909 10 -0 10 -0 10 -0 0.000616994 -51.903 0.000999168 177.663 0.000379013 -72.5091 0.000616994 128.097 0.000999168 177.663 0.00514167 -120.942 0.000986371 -170.53 0.000558168 164.912
2040 9.9916 -2.34876 7.88437 37.9603 10 -0 9.86501 9.42481 4.77057 26.8319 8.56573 -31.0661 10 -0 4.83585 17.4071 10 -0 10 -0 10 -0 0.000615116 -52.0397 0.00099916 177.651 0.000377279 -72.5929 0.000615116 127.96 0.00099916 177.651 0.00516027 -121.066 0.000986501 -170.575 0.000557654 164.964
2050 9.99152 -2.36026 7.89892 37.8245 10 -0 9.8663 9.37966 4.77275 26.7038 8.55454 -31.1901 10 -0 4.83742 17.3241 10 -0 10 -0 10 -0 0.000613245 -52.1755 0.000999152 177.64 0.000375561 -72.6759 0.000613245 127.825 0.000999152 177.64 0.00517879 -121.19 0.00098663 -170.62 0.000557146 165.016
2060 9.99143 -2.37176 7.91335 37.6896 10 -0 9.86757 9.33493 4.77489 26.5768 8.54334 -31.3137 10 -0 4.83897 17.2419 10 -0 10 -0 10 -0 0.000611383 -52.3104 0.000999143 177.628 0.000373857 -72.7581 0.000611383 127.69 0.000999143 177.628 0.00519724 -121.314 0.000986757 -170.665 0.000556645 165.068
2070 9.99135 -2.38326 7.92764 37.5554 10 -0 9.86882 9.29062 4.777 26.451 8.53213 -31.4371 10 -0 4.84049 17.1604 10 -0 10 -0 10 -0 0.000609528 -52.4446 0.000999135 177.617 0.000372168 -72.8396 0.000609528 127.555 0.000999135 177.617 0.00521562 -121.437 0.000986882 -170.709 0.00055615 165.12
2080 9.99127 -2.39476 7.94181 37.4221 10 -0 9.87006 9.24673 4.77908 26.3264 8.52092 -31.5601 10 -0 4.842 17.0797 10 -0 10 -0 10 -0 0.000607682 -52.5779 0.000999127 177.605 0.000370494 -72.9203 0.000607682 127.422 0.000999127 177.605 0.00523392 -121.56 0.000987006 -170.753 0.000555661 165.171
2090 9.99118 -2.40626 7.95584 37.2895 10 -0 9.87127 9.20324 4.78113 26.2029 8.50969 -31.6828 10 -0 4.84348 16.9997 10 -0 10 -0 10 -0 0.000605843 -52.7105 0.000999118 177.594 0.000368834 -73.0003 0.000605843 127.29 0.000999118 177.594 0.00525216 -121.683 0.000987127 -170.797 0.000555178 165.223
2100 9.9911 -2.41776 7.96975 37.1578 10 -0 9.87247 9.16016 4.78316 26.0806 8.49845 -31.8051 10 -0 4.84494 16.9204 10 -0 10 -0 10 -0 0.000604012 -52.8422 0.00099911 177.582 0.000367189 -73.0796 0.000604012 127.158 0.00099911 177.582 0.00527032 -121.805 0.000987247 -170.84 0.000554702 165.273
2110 9.99101 -2.42926 7.98353 37.0268 10 -0 9.87366 9.11748 4.78515 25.9594 8.48721 -31.9272 10 -0 4.84638 16.8419 10 -0 10 -0 10 -0 0.000602189 -52.9732 0.000999101 177.571 0.000365557 -73.1581 0.000602189 127.027 0.000999101 177.571 0.00528841 -121.927 0.000987366 -170.883 0.000554231 165.324
2120 9.99093 -2.44076 7.99719 36.8967 10 -0 9.87482 9.07519 4.78712 25.8393 8.47596 -32.0489 10 -0 4.84781 16.7641 10 -0 10 -0 10 -0 0.000600374 -53.1033 0.000999093 177.559 0.00036394 -73.2359 0.000600374 126.897 0.000999093 177.559 0.00530643 -122.049 0.000987482 -170.925 0.000553766 165.374
2130 9.99084 -2.45226 8.01073 36.7673 10 -0 9.87597 9.03329 4.78906 25.7203 8.46469 -32.1703 10 -0 4.84921 16.687 10 -0 10 -0 10 -0 0.000598567 -53.2327 0.000999084 177.548 0.000362336 -73.313 0.000598567 126.767 0.000999084 177.548 0.00532437 -122.17 0.000987597 -170.967 0.000553307 165.425
2140 9.99076 -2.46376 8.02414 36.6387 10 -0 9.87711 8.99177 4.79098 25.6024 8.45342 -32.2914 10 -0 4.85059 16.6106 10 -0 10 -0 10 -0 0.000596767 -53.3613 0.000999076 177.536 0.000360746 -73.3894 0.000596767 126.639 0.000999076 177.536 0.00534225 -122.291 0.000987711 -171.008 0.000552854 165.474
2150 9.99067 -2.47526 8.03744 36.5109 10 -0 9.87823 8.95062 4.79287 25.4855 8.44215 -32.4121 10 -0 4.85196 16.5349 10 -0 10 -0 10 -0 0.000594976 -53.4891 0.000999067 177.525 0.000359169 -73.4651 0.000594976 126.511 0.000999067 177.525 0.00536005 -122.412 0.000987823 -171.049 0.000552406 165.524
2160 9.99058 -2.48676 8.05061 36.3838 10 -0 9.87933 8.90985 4.79474 25.3697 8.43086 -32.5325 10 -0 4.8533 16.4599 10 -0 10 -0 10 -0 0.000593192 -53.6162 0.000999058 177.513 0.000357605 -73.5401 0.000593192 126.384 0.000999058 177.513 0.00537779 -122.533 0.000987933 -171.09 0.000551964 165.573
2170 9.9905 -2.49826 8.06367 36.2575 10 -0 9.88042 8.86945 4.79658 25.255 8.41957 -32.6526 10 -0 4.85463 16.3855 10 -0 10 -0 10 -0 0.000591416 -53.7425 0.00099905 177.502 0.000356055 -73.6145 0.000591416 126.258 0.00099905 177.502 0.00539545 -122.653 0.000988042 -171.131 0.000551527 165.623
2180 9.99041 -2.50975 8.07661 36.132 10 -0 9.8815 8.8294 4.7984 25.1412 8.40827 -32.7724 10 -0 4.85594 16.3118 10 -0 10 -0 10 -0 0.000589648 -53.868 0.000999041 177.49 0.000354517 -73.6882 0.000589648 126.132 0.000999041 177.49 0.00541304 -122.772 0.00098815 -171.171 0.000551096 165.671
2190 9.99032 -2.52125 8.08943 36.0072 10 -0 9.88256 8.78972 4.80019 25.0285 8.39697 -32.8919 10 -0 4.85723 16.2388 10 -0 10 -0 10 -0 0.000587887 -53.9928 0.000999032 177.479 0.000352992 -73.7612 0.000587887 126.007 0.000999032 177.479 0.00543056 -122.892 0.000988256 -171.21 0.000550669 165.72
2200 9.99023 -2.53275 8.10214 35.8832 10 -0 9.8836 8.75039 4.80196 24.9168 8.38566 -33.011 10 -0 4.85851 16.1664 10 -0 10 -0 10 -0 0.000586134 -54.1168 0.000999023 177.467 0.00035148 -73.8336 0.000586134 125.883 0.000999023 177.467 0.005448 -123.011 0.00098836 -171.25 0.000550248 165.768
2210 9.99014 -2.54425 8.11473 35.7599 10 -0 9.88464 8.7114 4.8037 24.806 8.37434 -33.1299 10 -0 4.85977 16.0946 10 -0 10 -0 10 -0 0.000584389 -54.2401 0.000999014 177.456 0.00034998 -73.9054 0.000584389 125.76 0.000999014 177.456 0.00546538 -123.13 0.000988464 -171.289 0.000549832 165.816
2220 9.99005 -2.55574 8.12722 35.6373 10 -0 9.88566 8.67276 4.80543 24.6962 8.36302 -33.2484 10 -0 4.86101 16.0235 10 -0 10 -0 10 -0 0.000582652 -54.3627 0.000999005 177.444 0.000348493 -73.9765 0.000582652 125.637 0.000999005 177.444 0.00548269 -123.248 0.000988566 -171.327 0.000549421 165.864
2230 9.98996 -2.56724 8.13959 35.5154 10 -0 9.88666 8.63445 4.80713 24.5874 8.35169 -33.3665 10 -0 4.86223 15.953 10 -0 10 -0 10 -0 0.000580922 -54.4846 0.000998996 177.433 0.000347017 -74.047 0.000580922 125.515 0.000998996 177.433 0.00549993 -123.367 0.000988666 -171.366 0.000549015 165.912
2240 9.98987 -2.57874 8.15185 35.3943 10 -0 9.88766 8.59648 4.8088 24.4795 8.34036 -33.4844 10 -0 4.86344 15.883 10 -0 10 -0 10 -0 0.0005792 -54.6057 0.000998987 177.421 0.000345554 -74.117 0.0005792 125.394 0.000998987 177.421 0.0055171 -123.484 0.000988766 -171.404 0.000548614 165.959
2250 9.98978 -2.59023 8.16401 35.2739 10 -0 9.88864 8.55884 4.81046 24.3726 8.32903 -33.6019 10 -0 4.86464 15.8137 10 -0 10 -0 10 -0 0.000577486 -54.7261 0.000998978 177.41 0.000344103 -74.1863 0.000577486 125.274 0.000998978 177.41 0.0055342 -123.602 0.000988864 -171.441 0.000548217 166.006
2260 9.98969 -2.60173 8.17606 35.1542 10 -0 9.8896 8.52153 4.8121 24.2666 8.31769 -33.7191 10 -0 4.86581 15.745 10 -0 10 -0 10 -0 0.000575779 -54.8458 0.000998969 177.398 0.000342663 -74.255 0.000575779 125.154 0.000998969 177.398 0.00555122 -123.719 0.00098896 -171.478 0.000547826 166.053
2270 9.9896 -2.61323 8.188 35.0352 10 -0 9.89056 8.48454 4.81371 24.1614 8.30634 -33.836 10 -0 4.86698 15.6769 10 -0 10 -0 10 -0 0.000574079 -54.9648 0.00099896 177.387 0.000341235 -74.3231 0.000574079 125.035 0.00099896 177.387 0.00556818 -123.836 0.000989056 -171.515 0.000547438 166.1
2280 9.98951 -2.62472 8.19983 34.9169 10 -0 9.8915 8.44786 4.81531 24.0572 8.295 -33.9526 10 -0 4.86813 15.6094 10 -0 10 -0 10 -0 0.000572388 -55.0831 0.000998951 177.375 0.000339819 -74.3906 0.000572388 124.917 0.000998951 177.375 0.00558507 -123.953 0.00098915 -171.552 0.000547056 166.146
2290 9.98942 -2.63622 8.21156 34.7993 10 -0 9.89243 8.4115 4.81688 23.9539 8.28365 -34.0689 10 -0 4.86926 15.5424 10 -0 10 -0 10 -0 0.000570703 -55.2007 0.000998942 177.364 0.000338413 -74.4576 0.000570703 124.799 0.000998942 177.364 0.00560189 -124.069 0.000989243 -171.588 0.000546678 166.192
2300 9.98932 -2.64771 8.22319 34.6824 10 -0 9.89335 8.37545 4.81843 23.8514 8.27229 -34.1848 10 -0 4.87038 15.476 10 -0 10 -0 10 -0 0.000569027 -55.3176 0.000998932 177.352 0.000337019 -74.524 0.000569027 124.682 0.000998932 177.352 0.00561864 -124.185 0.000989335 -171.625 0.000546304 166.238
2310 9.98923 -2.65921 8.23472 34.5662 10 -0 9.89426 8.3397 4.81997 23.7499 8.26094 -34.3005 10 -0 4.87148 15.4101 10 -0 10 -0 10 -0 0.000567357 -55.4338 0.000998923 177.341 0.000335637 -74.5899 0.000567357 124.566 0.000998923 177.341 0.00563533 -124.3 0.000989426 -171.66 0.000545934 166.284
2320 9.98914 -2.6707 8.24614 34.4506 10 -0 9.89515 8.30426 4.82148 23.6491 8.24958 -34.4158 10 -0 4.87257 15.3449 10 -0 10 -0 10 -0 0.000565696 -55.5494 0.000998914 177.329 0.000334265 -74.6551 0.000565696 124.451 0.000998914 177.329 0.00565194 -124.416 0.000989515 -171.696 0.000545569 166.329
2330 9.98904 -2.6822 8.25747 34.3357 10 -0 9.89603 8.26911 4.82298 23.5492 8.23822 -34.5308 10 -0 4.87365 15.2801 10 -0 10 -0 10 -0 0.000564041 -55.6643 0.000998904 177.318 0.000332904 -74.7199 0.000564041 124.336 0.000998904 177.318 0.00566849 -124.531 0.000989603 -171.731 0.000545209 166.374
2340 9.98895 -2.69369 8.26869 34.2216 10 -0 9.89691 8.23426 4.82446 23.4502 8.22686 -34.6454 10 -0 4.87471 15.2159 10 -0 10 -0 10 -0 0.000562394 -55.7784 0.000998895 177.306 0.000331553 -74.7841 0.000562394 124.222 0.000998895 177.306 0.00568496 -124.645 0.000989691 -171.766 0.000544852 166.419
2350 9.98886 -2.70519 8.27982 34.108 10 -0 9.89777 8.1997 4.82592 23.3519 8.2155 -34.7598 10 -0 4.87576 15.1522 10 -0 10 -0 10 -0 0.000560755 -55.892 0.000998886 177.295 0.000330214 -74.8478 0.000560755 124.108 0.000998886 177.295 0.00570137 -124.76 0.000989777 -171.8 0.000544499 166.464
2360 9.98876 -2.71668 8.29085 33.9951 10 -0 9.89862 8.16542 4.82736 23.2545 8.20413 -34.8738 10 -0 4.8768 15.0891 10 -0 10 -0 10 -0 0.000559123 -56.0049 0.000998876 177.283 0.000328884 -74.9109 0.000559123 123.995 0.000998876 177.283 0.00571771 -124.874 0.000989862 -171.835 0.000544151 166.508
2370 9.98867 -2.72818 8.30178 33.8829 10 -0 9.89946 8.13143 4.82878 23.1579 8.19277 -34.9876 10 -0 4.87783 15.0265 10 -0 10 -0 10 -0 0.000557498 -56.1171 0.000998867 177.272 0.000327565 -74.9735 0.000557498 123.883 0.000998867 177.272 0.00573399 -124.988 0.000989946 -171.869 0.000543806 166.552
2380 9.98857 -2.73967 8.31262 33.7714 10 -0 9.90029 8.09772 4.83019 23.0621 8.1814 -35.101 10 -0 4.87884 14.9643 10 -0 10 -0 10 -0 0.00055588 -56.2286 0.000998857 177.26 0.000326257 -75.0357 0.00055588 123.771 0.000998857 177.26 0.00575019 -125.101 0.000990029 -171.902 0.000543465 166.596
2390 9.98847 -2.75116 8.32337 33.6605 10 -0 9.90111 8.06429 4.83158 22.967 8.17003 -35.2141 10 -0 4.87984 14.9027 10 -0 10 -0 10 -0 0.00055427 -56.3395 0.000998847 177.249 0.000324958 -75.0973 0.00055427 123.66 0.000998847 177.249 0.00576633 -125.214 0.000990111 -171.936 0.000543129 166.64
2400 9.98838 -2.76266 8.33402 33.5502 10 -0 9.90192 8.03112 4.83295 22.8727 8.15867 -35.3269 10 -0 4.88082 14.8416 10 -0 10 -0 10 -0 0.000552667 -56.4498 0.000998838 177.237 0.00032367 -75.1584 0.000552667 123.55 0.000998838 177.237 0.0057824 -125.327 0.000990192 -171.969 0.000542796 166.684
2410 9.98828 -2.77415 8.34458 33.4405 10 -0 9.90272 7.99823 4.83431 22.7792 8.1473 -35.4393 10 -0 4.8818 14.781 10 -0 10 -0 10 -0 0.000551071 -56.5595 0.000998828 177.226 0.000322391 -75.219 0.000551071 123.441 0.000998828 177.226 0.0057984 -125.439 0.000990272 -172.002 0.000542466 166.727
2420 9.98818 -2.78564 8.35505 33.3315 10 -0 9.90351 7.96561 4.83565 22.6865 8.13593 -35.5515 10 -0 4.88276 14.7209 10 -0 10 -0 10 -0 0.000549483 -56.6685 0.000998818 177.214 0.000321122 -75.2791 0.000549483 123.332 0.000998818 177.214 0.00581434 -125.551 0.000990351 -172.034 0.000542141 166.77
2430 9.98809 -2.79714 8.36543 33.2231 10 -0 9.9043 7.93324 4.83697 22.5945 8.12457 -35.6633 10 -0 4.88371 14.6612 10 -0 10 -0 10 -0 0.000547901 -56.7769 0.000998809 177.203 0.000319863 -75.3388 0.000547901 123.223 0.000998809 177.203 0.00583021 -125.663 0.00099043 -172.067 0.000541819 166.813
2440 9.98799 -2.80863 8.37572 33.1154 10 -0 9.90507 7.90114 4.83828 22.5032 8.11321 -35.7749 10 -0 4.88465 14.6021 10 -0 10 -0 10 -0 0.000546327 -56.8846 0.000998799 177.191 0.000318613 -75.3979 0.000546327 123.115 0.000998799 177.191 0.00584602 -125.775 0.000990507 -172.099 0.0005415 166.855
2450 9.98789 -2.82012 8.38592 33.0082 10 -0 9.90583 7.8693 4.83957 22.4127 8.10184 -35.8861 10 -0 4.88558 14.5434 10 -0 10 -0 10 -0 0.00054476 -56.9918 0.000998789 177.18 0.000317373 -75.4566 0.00054476 123.008 0.000998789 177.18 0.00586175 -125.886 0.000990583 -172.131 0.000541186 166.898
2460 9.98779 -2.83161 8.39604 32.9017 10 -0 9.90658 7.83771 4.84085 22.3228 8.09048 -35.997 10 -0 4.8865 14.4851 10 -0 10 -0 10 -0 0.000543199 -57.0983 0.000998779 177.168 0.000316142 -75.5149 0.000543199 122.902 0.000998779 177.168 0.00587743 -125.997 0.000990658 -172.162 0.000540874 166.94
2470 9.98769 -2.8431 8.40606 32.7958 10 -0 9.90733 7.80637 4.84211 22.2337 8.07912 -36.1076 10 -0 4.8874 14.4274 10 -0 10 -0 10 -0 0.000541646 -57.2042 0.000998769 177.157 0.000314921 -75.5726 0.000541646 122.796 0.000998769 177.157 0.00589303 -126.108 0.000990733 -172.194 0.000540566 166.982
2480 9.98759 -2.8546 8.41601 32.6905 10 -0 9.90806 7.77528 4.84336 22.1453 8.06776 -36.2179 10 -0 4.8883 14.3701 10 -0 10 -0 10 -0 0.0005401 -57.3095 0.000998759 177.145 0.000313709 -75.6299 0.0005401 122.69 0.000998759 177.145 0.00590857 -126.218 0.000990806 -172.225 0.000540262 167.023
2490 9.98749 -2.86609 8.42586 32.5858 10 -0 9.90879 7.74443 4.84459 22.0576 8.05641 -36.3278 10 -0 4.88919 14.3132 10 -0 10 -0 10 -0 0.000538561 -57.4142 0.000998749 177.134 0.000312505 -75.6868 0.000538561 122.586 0.000998749 177.134 0.00592405 -126.328 0.000990879 -172.256 0.000539961 167.065
2500 9.98739 -2.87758 8.43564 32.4816 10 -0 9.90951 7.71383 4.84581 21.9706 8.04505 -36.4375 10 -0 4.89006 14.2568 10 -0 10 -0 10 -0 0.000537029 -57.5184 0.000998739 177.122 0.000311311 -75.7432 0.000537029 122.482 0.000998739 177.122 0.00593946 -126.437 0.000990951 -172.286 0.000539663 167.106
2510 9.98729 -2.88907 8.44533 32.3781 10 -0 9.91022 7.68346 4.84701 21.8843 8.0337 -36.5469 10 -0 4.89092 14.2008 10 -0 10 -0 10 -0 0.000535504 -57.6219 0.000998729 177.111 0.000310125 -75.7992 0.000535504 122.378 0.000998729 177.111 0.0059548 -126.547 0.000991022 -172.317 0.000539368 167.147
2520 9.98719 -2.90056 8.45493 32.2752 10 -0 9.91092 7.65333 4.8482 21.7986 8.02235 -36.6559 10 -0 4.89178 14.1452 10 -0 10 -0 10 -0 0.000533986 -57.7248 0.000998719 177.099 0.000308949 -75.8548 0.000533986 122.275 0.000998719 177.099 0.00597008 -126.656 0.000991092 -172.347 0.000539077 167.188
2530 9.98709 -2.91205 8.46446 32.1728 10 -0 9.91161 7.62344 4.84938 21.7136 8.01101 -36.7646 10 -0 4.89262 14.0901 10 -0 10 -0 10 -0 0.000532475 -57.8272 0.000998709 177.088 0.000307781 -75.9099 0.000532475 122.173 0.000998709 177.088 0.00598529 -126.765 0.000991161 -172.377 0.000538788 167.228
2540 9.98698 -2.92354 8.47391 32.071 10 -0 9.9123 7.59378 4.85054 21.6292 7.99967 -36.8731 10 -0 4.89346 14.0354 10 -0 10 -0 10 -0 0.00053097 -57.929 0.000998698 177.076 0.000306621 -75.9646 0.00053097 122.071 0.000998698 177.076 0.00600044 -126.873 0.00099123 -172.406 0.000538503 167.268
